"","soi_ordered_quantity","soi_line_net_sales_functional","soi_line_total_cost_functional","soi_line_prime_cost_corp","soi_ucortp","soi_lob_l2_key","soi_code_desc","soi_location_code","soi_totaldiscountlocal","soi_totaldiscountcorp","itm_item_key","itm_organization_id","cust_customer_id","cust_customer_number","cust_customer_key","cust_dsn","cust_bmsreceivabletypecode","eng_em_key"
"1",1,4290,3432,3432,1,28,1,26,-3432,-3432,1175,2,3004,2991,3005,2,8,-1
"2",1,5100,4156.31,4156.31,42,34,7,1,0,0,3078,4,1443,1429,1443,4,2,-1
"3",1,3450,2981,2981,7,30,7,806,0,0,1188,4,174,160,174,4,17,-1
"4",1,11047.39,9210.67,9210.67,26,34,7,1,0,0,2560,4,801,787,801,4,2,-1
"5",1,3450,3105,3105,1,15,7,3,3250,3250,1229,1,2709,2697,2710,1,17,-1
"6",1,1000,0,0,11,34,7,806,0,0,210,4,324,310,324,4,17,-1
"7",1,1684,1347,1347,10,30,2,806,0,0,1670,4,281,267,281,4,17,-1
"8",1,0,0,0,26,34,7,1,0,0,2560,4,801,787,801,4,2,-1
"9",1,3593.01,3416,3416,21,29,1,80,-3416,-3416,1765,3,2211,2199,2212,3,4,-1
"10",2,27.6,27.6,27.6,1,29,6,80,18.4,18.4,786,3,1944,1933,1944,3,9,-1
"11",1,6599,6000,6000,26,34,7,1,0,0,2560,4,969,955,969,4,2,-1
"12",1,3520,3015,3015,6,30,7,1,0,0,1185,4,174,160,174,4,17,-1
"13",1,53.9,42,42,43,30,8,100,0,0,636,4,2807,2794,2808,4,17,-1
"14",1,530,477,477,15,30,7,806,0,0,2961,4,650,636,650,4,17,-1
"15",1,5031,4380,4380,15,30,2,806,0,0,495,4,895,881,895,4,17,-1
"16",1,4048,3634,3634,15,30,7,806,0,0,495,4,1080,1066,1080,4,17,-1
"17",1,3450,3105,3105,1,15,7,3,3250,3250,1229,1,2709,2697,2710,1,17,-1
"18",2,93.3,84.82,84.82,43,30,8,100,0,0,350,4,2807,2794,2808,4,17,-1
"19",1,1684,1347,1347,43,30,7,1,898,898,1682,4,805,791,805,4,17,-1
"20",1,3318.99,2585,2585,31,29,8,80,880,880,828,3,2041,2028,2041,3,17,-1
"21",1,3450,3105,3105,1,15,7,3,3250,3250,1229,1,2709,2697,2710,1,17,-1
"22",1,3450,3105,3105,1,15,7,3,3250,3250,1229,1,2709,2697,2710,1,17,-1
"23",1,8578,0,0,1,28,1,26,0,0,1569,2,1875,1863,1875,2,8,-1
"24",1,2362.8,1855,1855,41,30,2,806,0,0,473,4,685,671,685,4,17,-1
"25",1,4707,3765,3765,5,30,2,806,0,0,1188,4,88,74,88,4,17,-1
"26",2,7.36,4.96,4.96,23,30,7,1,0,0,347,4,1320,1306,1320,4,17,-1
"27",1,11466,8820,8820,31,29,4,80,5880,5880,497,3,933,919,933,3,17,-1
"28",1,3405,2724,2724,43,30,7,1,0,0,921,4,1699,1685,1699,4,6,-1
"29",1,3667,0,0,5,30,7,806,0,0,955,4,1969,1958,1969,4,17,-1
"30",1,63.9,42.6,42.6,41,30,2,100,0,0,648,4,509,495,509,4,17,-1
"31",1,0,0,0,30,34,7,806,0,0,2560,4,2406,2394,2407,4,17,-1
"32",1,59,40.8,40.8,43,30,7,1,31.82,31.82,768,4,1326,1312,1326,4,17,-1
"33",1,5647,4970,4970,29,33,3,80,0,0,2330,3,2907,2893,2908,3,3,-1
"34",1,5925,4977,4977,42,30,7,1,0,0,2639,4,1775,1761,1775,4,2,-1
"35",1,12,8.88,8.88,7,30,2,100,0,0,446,4,606,592,606,4,17,-1
"36",1,535.96,477,477,19,30,7,1,0,0,1555,4,1388,1374,1388,4,17,-1
"37",1,7500,10650,10650,30,34,7,806,0,0,2084,4,655,641,655,4,2,-1
"38",1,9296,0,0,7,30,7,1,0,0,197,4,252,238,252,4,17,-1
"39",1,38,22.8,22.8,1,29,4,4,15.2,15.2,1344,3,2390,2378,2391,3,17,-1
"40",1,4502,4621,4621,11,30,2,806,0,0,184,4,324,310,324,4,17,-1
"41",1,3520,3029,3029,43,30,8,1,0,0,1185,4,1433,1419,1433,4,17,-1
"42",1,4049.76,2537.52,2537.52,42,30,7,1,0,0,2723,4,1769,1755,1769,4,6,-1
"43",10,5410,4328.4,4328.4,23,26,7,1,0,0,890,4,727,713,727,4,17,-1
"44",1,740.26,2400,2400,21,29,1,80,1600,1600,1470,3,2211,2199,2212,3,4,-1
"45",1,7244.81,6378.19,6378.19,30,34,7,1,0,0,3078,4,1585,1571,1585,4,2,-1
"46",1,47.6,40.8,40.8,1,27,1,3,34.68,34.68,662,1,2698,2686,2699,1,4,-1
"47",1,0,698,698,1,28,4,26,-698,-698,2481,2,2962,2948,2963,2,8,-1
"48",1,4920,3588,3588,1,28,2,26,-3588,-3588,1193,2,3045,3032,3046,2,17,-1
"49",1,513,477,477,45,30,7,1,0,0,1555,4,1237,1223,1237,4,2,-1
"50",1,29181.6,25679.81,25679.81,36,34,7,806,0,0,2533,4,1012,998,1012,4,9,-1
"51",1,325,171,171,30,34,7,806,0,0,1542,4,721,707,721,4,17,-1
"52",1,40,30,30,23,30,7,1,0,0,764,4,1312,1298,1312,4,17,-1
"53",1,89.1,59.4,59.4,41,30,7,100,0,0,772,4,509,495,509,4,17,-1
"54",1,2350,1844,1844,31,29,8,80,1546,1546,827,3,3142,3130,3143,3,17,-1
"55",1,25.6,19.2,19.2,21,29,1,80,12.8,12.8,1367,3,2399,2387,2400,3,17,-1
"56",1,0,0,0,1,29,6,80,5945,5945,1194,3,2403,2391,2404,3,10,-1
"57",-1,-8011.85,0,0,2,29,8,80,-8160,-8160,1268,3,933,919,933,3,17,-1
"58",2,90,60,60,31,29,1,80,40,40,763,3,2681,2669,2682,3,17,-1
"59",1,489.5,267,267,19,30,2,100,0,0,1032,4,1905,1893,1905,4,4,-1
"60",1,9336,7093,7093,31,29,4,90,5272,5272,200,3,1897,1885,1897,3,17,-1
"61",1,0,0,0,27,34,7,806,0,0,2560,4,2459,2447,2460,4,17,-1
"62",1,2125,1912,1912,26,34,7,806,0,0,3078,4,369,355,369,4,17,-1
"63",1,2250,1800,1800,29,33,3,80,0,0,2409,3,2295,2283,2296,3,3,-1
"64",1,3450,3105,3105,1,15,7,3,3250,3250,1229,1,2709,2697,2710,1,17,-1
"65",1,188.1,118.8,118.8,1,28,2,21,79.2,79.2,846,2,2448,2436,2449,2,4,-1
"66",1,0,0,0,1,30,6,100,0,0,830,4,1992,1979,1992,4,10,-1
"67",1,2200,1347,1347,11,30,2,806,0,0,1401,4,324,310,324,4,17,-1
"68",1,1684,1347,1347,43,30,7,1,0,0,1682,4,805,791,805,4,17,-1
"69",1,4032,3467,3467,26,34,7,806,0,0,3078,4,248,234,248,4,2,-1
"70",1,4512,4390,4390,10,30,7,1,0,0,144,4,281,267,281,4,17,-1
"71",4,31.8,27.24,27.24,41,30,7,100,0,0,298,4,2807,2794,2808,4,17,-1
"72",1,2467.77,2017,2017,31,29,1,80,1448,1448,828,3,2041,2028,2041,3,17,-1
"73",1,3104,2716,2716,1,27,1,3,1811,1811,1774,1,1872,1860,1872,1,4,-1
"74",-1,-10000,-10000,-10000,30,34,7,806,0,0,2161,4,642,628,642,4,17,-1
"75",1,3450,3105,3105,1,15,7,3,3250,3250,1229,1,2709,2697,2710,1,17,-1
"76",-1,-203,-121.8,-121.8,2,29,4,30,-81.2,-81.2,1399,3,2911,2897,2912,3,7,-1
"77",1,9528,7578,7578,1,28,2,26,-7578,-7578,199,2,3003,2990,3004,2,8,-1
"78",-1,-1482.6,-1482.6,-1482.6,27,34,7,806,0,0,2826,4,979,965,979,4,17,-1
"79",1,0,0,0,1,30,6,806,0,0,830,4,17,3,17,4,10,-1
"80",1,3450,3105,3105,1,15,7,3,3250,3250,1229,1,2709,2697,2710,1,17,-1
"81",1,16583.46,14759.28,14759.28,29,33,3,80,0,0,1937,3,2264,2252,2265,3,17,-1
"82",1,89.1,59.4,59.4,31,29,1,4,39.6,39.6,771,3,2681,2669,2682,3,17,-1
"83",1,40300,35403,35403,29,33,3,80,0,0,507,3,2929,2915,2930,3,3,-1
"84",1,299238.4,245375.49,245375.49,36,34,7,806,0,0,2533,4,1023,1009,1023,4,9,-1
"85",30,642.3,401.4,401.4,43,34,7,100,240.9,240.9,61,4,174,160,174,4,17,-1
"86",1,0,0,0,26,34,7,806,0,0,2560,4,221,207,221,4,17,-1
"87",1,30121,25985.53,25985.53,26,34,7,1,0,0,2560,4,543,529,543,4,17,-1
"88",1,1780.99,1567.27,1567.27,42,34,7,1,0,0,3078,4,1335,1321,1335,4,2,-1
"89",2,39.68,24.8,24.8,23,34,7,1,14.88,14.88,76,4,1146,1132,1146,4,17,-1
"90",1,9128.52,5857,5857,31,29,4,80,2853,2853,143,3,2034,2021,2034,3,17,-1
"91",1,0,0,0,1,28,2,26,0,0,770,2,422,408,422,2,1,-1
"92",1,5050,4345,4345,26,34,7,806,0,0,3078,4,296,282,296,4,2,-1
"93",1,513.18,477,477,21,29,1,80,318,318,2959,3,325,311,325,3,4,-1
"94",1,22.5,15,15,31,29,1,80,10,10,1350,3,2681,2669,2682,3,17,-1
"95",1,24200,21295,21295,29,33,3,80,0,0,1234,3,2603,2591,2604,3,17,-1
"96",1,8146,8146,8146,30,34,7,806,0,0,2560,4,2827,2814,2828,4,17,-1
"97",1,17062.08,14844.01,14844.01,29,29,7,80,-14844.01,-14844.01,2026,3,2704,2692,2705,3,17,-1
"98",1,43890,36560.78,36560.78,30,34,7,1,0,0,2560,4,1733,1719,1733,4,2,-1
"99",1,16930,15237,15237,29,29,7,80,-15237,-15237,1974,3,2948,2934,2949,3,17,-1
"100",2,122.4,82.8,82.8,43,30,8,1,0,0,665,4,509,495,509,4,17,-1
"101",1,6335,4390,4390,43,30,7,1,0,0,144,4,1287,1273,1287,4,17,-1
"102",1,2810.64,2811,2811,1,29,6,80,1969,1969,917,3,1944,1933,1944,3,9,-1
"103",1,3541.5,2361,2361,32,29,4,10,1574,1574,618,3,2553,2541,2554,3,17,-1
"104",1,15425,13419.75,13419.75,29,29,7,80,-13419.75,-13419.75,2017,3,2661,2649,2662,3,17,-1
"105",1,3450,3105,3105,1,15,7,3,3250,3250,1229,1,2709,2697,2710,1,17,-1
"106",1,4165,0,0,15,30,7,806,0,0,495,4,817,803,817,4,17,-1
"107",1,530,477,477,15,30,7,806,0,0,2961,4,650,636,650,4,17,-1
"108",1,18.4,15,15,7,30,7,1,0,0,1348,4,1182,1168,1182,4,17,-1
"109",1,2870,2011.46,2011.46,30,34,7,806,0,0,3078,4,135,121,135,4,17,-1
"110",1,19429.8,17486.82,17486.82,29,29,7,80,-17486.82,-17486.82,1981,3,2209,2197,2210,3,17,-1
"111",1,228,171,171,45,30,7,1,0,0,1541,4,650,636,650,4,17,-1
"112",1,0,58276.96,58276.96,30,34,7,806,0,0,2166,4,1981,1970,1981,4,2,-1
"113",1,3765,3721,3721,1,29,6,80,2399,2399,1186,3,1944,1933,1944,3,9,-1
"114",1,4223,3772,3772,15,30,7,806,0,0,495,4,1037,1023,1037,4,17,-1
"115",1,513,477,477,45,30,7,1,0,0,1555,4,1401,1387,1401,4,17,-1
"116",1,27444.6,21955.68,21955.68,36,34,7,806,0,0,2533,4,59,45,59,4,9,-1
"117",1,1000,2421,2421,43,29,7,80,1614,1614,503,3,2921,2907,2922,3,7,-1
"118",1,54675,0,0,1,30,6,806,0,0,1961,4,1022,1008,1022,4,9,-1
"119",1,0,0,0,42,30,7,1,0,0,2558,4,1748,1734,1748,4,6,-1
"120",1,1119.26,986,986,22,34,7,806,0,0,3078,4,2827,2814,2828,4,17,-1
"121",1,28740,23920,23920,30,34,7,806,0,0,2560,4,821,807,821,4,17,-1
"122",1,2016.63,2017,2017,1,29,6,80,1448,1448,828,3,1944,1933,1944,3,9,-1
"123",1,513.18,477,477,1,28,1,26,-477,-477,2956,2,2987,2974,2988,2,8,-1
"124",1,2000,3838,3838,1,28,2,26,-3838,-3838,1458,2,3107,3094,3108,2,8,-1
"125",1,88600,74857.99,74857.99,30,34,7,1,0,0,2560,4,1158,1144,1158,4,17,-1
"126",1,3520,3015,3015,7,30,7,1,0,0,1185,4,1433,1419,1433,4,17,-1
"127",1,625.62,557,557,21,29,1,80,148,148,1560,3,2723,2711,2724,3,4,-1
"128",1,4237,3793,3793,15,30,2,806,0,0,495,4,749,735,749,4,17,-1
"129",1,2710,2011.46,2011.46,22,34,7,806,0,0,3078,4,135,121,135,4,17,-1
"130",1,220306,185057.04,185057.04,36,34,7,806,0,0,2533,4,1022,1008,1022,4,9,-1
"131",1,4445,3519,3519,7,30,7,806,0,0,1203,4,252,238,252,4,17,-1
"132",1,15562.15,12665.41,12665.41,26,34,7,806,0,0,2560,4,156,142,156,4,17,-1
"133",1,3520,2952,2952,7,30,7,1,0,0,1185,4,174,160,174,4,17,-1
"134",1,0,0,0,26,34,7,806,0,0,2560,4,924,910,924,4,17,-1
"135",1,0,0,0,1,30,6,806,0,0,1203,4,2405,2393,2406,4,10,-1
"136",1,3520,2952,2952,7,30,7,1,0,0,1185,4,174,160,174,4,17,-1
"137",1,102495.53,94446,94446,29,33,3,80,0,0,966,3,1817,1804,1817,3,17,-1
"138",1,575,477,477,19,30,2,806,0,0,2878,4,749,735,749,4,17,-1
"139",1,9308,7292,7292,7,30,7,1,0,0,197,4,665,651,665,4,17,-1
"140",1,199048.2,163219.52,163219.52,36,34,7,806,0,0,2533,4,1001,987,1001,4,9,-1
"141",1,4603.54,3737,3737,20,29,4,80,-3737,-3737,1765,3,2646,2634,2647,3,17,-1
"142",1,100381.33,86338.32,86338.32,30,34,7,806,0,0,2560,4,876,862,876,4,17,-1
"143",1,3066.62,2746,2746,27,34,7,806,0,0,3078,4,2647,2635,2648,4,2,-1
"144",1,625.62,557,557,1,28,1,26,-557,-557,1559,2,3062,3049,3063,2,8,-1
"145",1,0,0,0,1,30,6,806,0,0,1131,4,17,3,17,4,10,-1
"146",1,2635,2105,2105,41,30,7,806,0,0,830,4,727,713,727,4,17,-1
"147",1,3049.2,2037,2037,43,30,7,1,0,0,833,4,1321,1307,1321,4,17,-1
"148",5,8140,6855,6855,1,28,1,26,4569.55,4569.55,1688,2,1116,1102,1116,2,5,-1
"149",1,110255,95921.85,95921.85,29,29,3,80,0,0,843,3,1558,1544,1558,3,3,-1
"150",1,3450,3105,3105,1,15,7,3,3250,3250,1229,1,2709,2697,2710,1,17,-1
"151",1,8548,6838,6838,7,30,7,806,0,0,142,4,281,267,281,4,17,-1
"152",1,78974.75,63513.33,63513.33,42,30,7,1,0,0,2558,4,825,811,825,4,17,-1
"153",1,3099.2,2017,2017,31,29,1,80,1448,1448,828,3,2852,2839,2853,3,17,-1
"154",1,513,477,477,45,30,7,1,0,0,1555,4,509,495,509,4,17,-1
"155",22,484,382.8,382.8,43,30,7,1,0,0,365,4,1433,1419,1433,4,17,-1
"156",1,705,557,557,20,29,4,80,148,148,1560,3,2672,2660,2673,3,17,-1
"157",1,0,0,0,21,29,1,80,0,0,745,3,325,311,325,3,4,-1
"158",1,24.22,14.53,14.53,43,30,7,1,0,0,370,4,1290,1276,1290,4,17,-1
"159",1,109503.23,82128,82128,29,33,3,80,0,0,520,3,2947,2933,2948,3,17,-1
"160",1,3755,2879,2879,8,30,2,806,0,0,955,4,661,647,661,4,17,-1
"161",1,0,0,0,29,29,3,80,0,0,2596,3,1115,1101,1115,3,3,-1
"162",1,9200,8500,8500,1,28,1,26,-8500,-8500,1576,2,2883,2869,2884,2,8,-1
"163",-1,-11807,0,0,24,5,7,806,0,0,2861,4,600,586,600,4,17,1800061900
"164",1,118566.6,104338.61,104338.61,36,34,7,806,0,0,2533,4,1012,998,1012,4,9,-1
"165",1,0,0,0,1,30,6,1,0,0,1182,4,17,3,17,4,10,-1
"166",1,25.6,19.8,19.8,21,29,1,80,13.2,13.2,1380,3,2845,2832,2846,3,13,-1
"167",1,207190,182327.2,182327.2,29,29,3,80,0,0,159,3,2091,2078,2092,3,17,-1
"168",1,113.03,67.68,67.68,34,29,4,80,45.35,45.35,94,3,2347,2335,2348,3,17,-1
"169",1,0,0,0,1,30,6,806,0,0,198,4,24,10,24,4,10,-1
"170",1,477,0,0,15,30,7,806,0,0,2961,4,1014,1000,1014,4,9,-1
"171",1,276286.7,243132.26,243132.26,30,34,7,806,0,0,3078,4,1981,1970,1981,4,2,-1
"172",1,209.04,126,126,7,34,7,1,0,0,18,4,1352,1338,1352,4,17,-1
"173",1,3743.01,3481,3481,21,29,1,80,-3481,-3481,1765,3,2455,2443,2456,3,4,-1
"174",1,2620,2054,2054,23,30,7,1,0,0,833,4,727,713,727,4,17,-1
"175",1,3393,2782,2782,41,30,7,806,0,0,927,4,2807,2794,2808,4,17,-1
"176",1,42120,35411,35411,29,33,3,80,0,0,311,3,2013,2000,2013,3,17,-1
"177",1,8554,7271,7271,21,29,1,80,-7271,-7271,1735,3,2845,2832,2846,3,13,-1
"178",1,58,40.8,40.8,5,30,7,100,0,0,665,4,661,647,661,4,17,-1
"179",23,993.6,745.2,745.2,6,30,7,1,0,0,391,4,1182,1168,1182,4,17,-1
"180",1,171390,146469.89,146469.89,36,34,7,806,0,0,2533,4,1010,996,1010,4,9,-1
"181",1,32,24,24,21,29,1,80,16,16,1380,3,2211,2199,2212,3,4,-1
"182",1,3110,2418.56,2418.56,29,33,3,80,0,0,2510,3,2408,2396,2409,3,17,-1
"183",1,782239,625791.2,625791.2,29,29,7,80,-625791.2,-625791.2,322,3,1509,1495,1509,3,17,-1
"184",2,77.9,49.2,49.2,1,28,2,26,32.8,32.8,642,2,3040,3027,3041,2,14,-1
"185",1,6999.3,4891,4891,31,29,4,80,1954,1954,1120,3,933,919,933,3,17,-1
"186",-1,0,1181,1181,2,30,2,806,0,0,2601,4,779,765,779,4,17,-1
"187",1,0,0,0,29,29,3,80,0,0,2627,3,2032,2019,2032,3,17,-1
"188",1,5315.3,3450,3450,43,30,7,1,0,0,1121,4,805,791,805,4,17,-1
"189",1,3338,2590,2590,43,30,8,1,0,0,925,4,509,495,509,4,17,-1
"190",-1,-7668.38,0,0,2,29,8,80,-9170,-9170,1113,3,2041,2028,2041,3,17,-1
"191",1,8516,6515,6515,10,30,2,806,0,0,407,4,1505,1491,1505,4,17,-1
"192",1,149,111.6,111.6,31,29,4,20,74.4,74.4,1341,3,2792,2779,2793,3,17,-1
"193",1,3061,2397,2397,10,30,7,806,0,0,599,4,281,267,281,4,17,-1
"194",1,8012,6344,6344,43,30,7,1,0,0,1263,4,588,574,588,4,17,-1
"195",-1,0,0,0,2,29,3,80,0,0,2008,3,3148,3136,3149,3,17,-1
"196",1,69654,61295.52,61295.52,36,34,7,806,0,0,2533,4,1001,987,1001,4,9,-1
"197",1,37632,32619.42,32619.42,36,34,7,806,0,0,2533,4,1010,996,1010,4,9,-1
"198",1,4090.9,3559.08,3559.08,29,29,7,80,0,0,2627,3,2702,2690,2703,3,17,-1
"199",1,55,41.4,41.4,43,30,8,1,0,0,665,4,238,224,238,4,17,-1
"200",1,1657.79,1404,1404,26,34,7,806,0,0,3078,4,487,473,487,4,17,-1
"201",1,59.4,59.4,59.4,1,30,6,100,0,0,772,4,2971,2957,2972,4,10,-1
"202",1,573.67,0,0,30,34,7,806,0,0,2560,4,973,959,973,4,2,-1
"203",1,93724,80561,80561,30,34,7,806,0,0,2560,4,241,227,241,4,2,-1
"204",1,88562,75278,75278,27,34,7,806,0,0,2533,4,244,230,244,4,17,-1
"205",1,530,477,477,15,30,7,806,0,0,2961,4,528,514,528,4,17,-1
"206",1,0,0,0,30,34,7,806,0,0,2560,4,577,563,577,4,17,-1
"207",1,0,0,0,41,30,7,100,0,0,772,4,1330,1316,1330,4,17,-1
"208",-1,-955,0,0,29,33,3,80,0,0,2160,3,187,173,187,3,17,-1
"209",1,0,0,0,30,30,7,1,0,0,2558,4,655,641,655,4,2,-1
"210",1,4937.2,3765,3765,31,29,4,80,2355,2355,1186,3,2720,2708,2721,3,17,-1
"211",1,3520,3041,3041,6,30,7,1,0,0,1185,4,174,160,174,4,17,-1
"212",1,11343,8818,8818,7,30,7,806,0,0,500,4,1093,1079,1093,4,17,-1
"213",1,6300,5796,5796,29,33,3,80,0,0,2194,3,1558,1544,1558,3,3,-1
"214",1,0,0,0,23,30,8,1,0,0,922,4,2807,2794,2808,4,17,-1
"215",1,27468.31,23941.43,23941.43,26,34,7,806,0,0,2560,4,1184,1170,1184,4,17,-1
"216",1,0,0,0,26,34,7,806,0,0,2560,4,247,233,247,4,2,-1
"217",1,11063,8585,8585,7,30,7,806,0,0,500,4,1093,1079,1093,4,17,-1
"218",1,2000,7757,7757,1,28,2,26,-7757,-7757,527,2,3107,3094,3108,2,8,-1
"219",1,3599,2832,2832,23,30,7,1,0,0,954,4,1146,1132,1146,4,17,-1
"220",-1,-12078,0,0,24,4,7,90,0,0,2860,3,1174,1160,1174,3,5,319908273
"221",1,3450,2981,2981,7,30,7,806,0,0,1188,4,174,160,174,4,17,-1
"222",1,3450,3105,3105,1,15,7,3,3250,3250,1229,1,2709,2697,2710,1,17,-1
"223",1,3450,3105,3105,1,15,7,3,3250,3250,1229,1,2709,2697,2710,1,17,-1
"224",1,78593.87,71235.51,71235.51,30,34,7,806,0,0,2560,4,860,846,860,4,2,-1
"225",1,13741.54,11050,11050,26,34,7,806,0,0,2560,4,403,389,403,4,17,-1
"226",1,0,0,0,30,34,7,806,0,0,2560,4,341,327,341,4,17,-1
"227",1,0,0,0,21,29,1,4,0,0,1692,3,2722,2710,2723,3,4,-1
"228",1,162990,139600.94,139600.94,36,34,7,806,0,0,2533,4,1001,987,1001,4,9,-1
"229",10,256,192,192,1,28,1,26,128,128,1366,2,3044,3031,3045,2,8,-1
"230",1,68.76,34.38,34.38,31,29,1,80,34.38,34.38,90,3,2375,2363,2376,3,17,-1
"231",1,50,30,30,32,29,4,40,20,20,763,3,2611,2599,2612,3,17,-1
"232",1,0,0,0,26,34,7,806,0,0,2979,4,655,641,655,4,2,-1
"233",1,0,0,0,36,34,7,806,0,0,2533,4,1010,996,1010,4,9,-1
"234",1,80500,64121.73,64121.73,30,34,7,1,0,0,2560,4,1510,1496,1510,4,2,-1
"235",1,21750,18487.5,18487.5,29,29,7,80,0,0,2703,3,2208,2196,2209,3,17,-1
"236",1,513.18,477,477,21,29,3,80,318,318,2959,3,2547,2535,2548,3,17,-1
"237",1,1101.68,1123.08,1123.08,26,34,7,806,0,0,3078,4,2827,2814,2828,4,17,-1
"238",1,12235.22,10400,10400,21,29,1,80,-10400,-10400,1643,3,2401,2389,2402,3,17,-1
"239",1,2467.77,2058,2058,31,29,8,80,1407,1407,828,3,2041,2028,2041,3,17,-1
"240",1,4564.32,3880,3880,29,33,3,80,0,0,2637,3,784,770,784,3,17,-1
"241",1,0,0,0,41,30,7,806,0,0,830,4,727,713,727,4,17,-1
"242",2,73.8,49.2,49.2,1,28,7,26,32.8,32.8,642,2,424,410,424,2,14,-1
"243",1,3450,3105,3105,1,15,7,3,3250,3250,1229,1,2709,2697,2710,1,17,-1
"244",1,1448.53,1231,1231,21,29,1,80,-1231,-1231,1699,3,2648,2636,2649,3,4,-1
"245",1,0,0,0,30,34,7,806,0,0,2560,4,573,559,573,4,17,-1
"246",1,56,42,42,41,30,7,100,0,0,636,4,2807,2794,2808,4,17,-1
"247",1,3529,3342,3342,1,28,1,26,-3342,-3342,529,2,3039,3026,3040,2,8,-1
"248",1,2467.77,2037,2037,43,30,7,1,0,0,833,4,1313,1299,1313,4,17,-1
"249",1,4010.79,3599.82,3599.82,30,34,7,1,0,0,3078,4,701,687,701,4,2,-1
"250",1,2772,2037,2037,7,30,7,1,0,0,833,4,1162,1148,1162,4,17,-1
"251",1,881,757.66,757.66,29,29,7,80,0,0,2504,3,2702,2690,2703,3,17,-1
"252",1,21500,18920,18920,29,29,7,80,-18920,-18920,2075,3,2572,2560,2573,3,17,-1
"253",1,3520,3015,3015,6,30,7,1,0,0,1185,4,1433,1419,1433,4,17,-1
"254",1,19000,9500,9500,42,30,7,1,0,0,2558,4,969,955,969,4,2,-1
"255",1,298.99,278,278,21,29,1,80,185,185,2941,3,2845,2832,2846,3,13,-1
"256",1,0,0,0,1,29,6,4,5720,5720,1171,3,2959,2945,2960,3,10,-1
"257",1,26.4,19.8,19.8,1,28,1,26,13.2,13.2,758,2,2462,2450,2463,2,4,-1
"258",1,3853,0,0,1,28,2,26,0,0,958,2,2449,2437,2450,2,8,-1
"259",1,3520,3041,3041,6,30,7,1,0,0,1185,4,174,160,174,4,17,-1
"260",1,148458,108233.84,108233.84,30,34,7,1,0,0,2560,4,1578,1564,1578,4,17,-1
"261",1,75197,66173.36,66173.36,36,34,7,806,0,0,2533,4,2453,2441,2454,4,9,-1
"262",1,148494,128105.77,128105.77,36,34,7,806,0,0,2533,4,1022,1008,1022,4,9,-1
"263",1,0,0,0,43,30,8,1,0,0,1185,4,1433,1419,1433,4,17,-1
"264",1,25,17.99,17.99,41,30,7,100,0,0,863,4,509,495,509,4,17,-1
"265",1,3450,3105,3105,1,15,7,3,3250,3250,1229,1,2709,2697,2710,1,17,-1
"266",1,38.5,30,30,41,30,7,100,0,0,764,4,2807,2794,2808,4,17,-1
"267",1,0,0,0,30,30,7,1,0,0,2704,4,1246,1232,1246,4,17,-1
"268",1,19483.53,16027.82,16027.82,26,34,7,806,0,0,2560,4,469,455,469,4,17,-1
"269",1,1684,1347,1347,10,30,7,806,0,0,1670,4,1053,1039,1053,4,17,-1
"270",1,15350,13023,13023,26,34,7,806,0,0,2560,4,220,206,220,4,2,-1
"271",1,513.18,477,477,21,29,1,80,318,318,2959,3,2423,2411,2424,3,17,-1
"272",1,79.2,59.4,59.4,1,28,1,26,39.6,39.6,770,2,1543,1529,1543,2,4,-1
"273",15,301.95,261,261,1,27,4,3,221.85,221.85,362,1,2709,2697,2710,1,17,-1
"274",1,17663,15896.7,15896.7,29,29,3,80,0,0,592,3,2948,2934,2949,3,17,-1
"275",1,2559.01,2163.93,2163.93,42,34,7,1,0,0,3078,4,1726,1712,1726,4,17,-1
"276",1,3520,3016,3016,43,30,7,1,0,0,1185,4,174,160,174,4,17,-1
"277",1,57.16,37.98,37.98,31,29,1,5,25.45,25.45,88,3,2291,2279,2292,3,17,-1
"278",1,38993.4,33114.78,33114.78,36,34,7,806,0,0,2533,4,1022,1008,1022,4,9,-1
"279",1,0,0,0,30,34,7,806,0,0,2560,4,63,49,63,4,17,-1
"280",1,0,0,0,29,29,7,80,0,0,2631,3,2702,2690,2703,3,17,-1
"281",1,36213.6,32230.1,32230.1,36,34,7,806,0,0,2533,4,1012,998,1012,4,9,-1
"282",1,11450,9896,9896,26,34,7,806,0,0,2560,4,1131,1117,1131,4,17,-1
"283",1,19575.14,16174.76,16174.76,26,34,7,1,0,0,2560,4,765,751,765,4,2,-1
"284",1,2881.5,2034,2034,34,29,5,5,1356,1356,827,3,2642,2630,2643,3,17,-1
"285",1,3652.5,2788,2788,31,29,1,80,1682,1682,939,3,2041,2028,2041,3,17,-1
"286",1,13277.3,10622.34,10622.34,30,34,7,1,0,0,3078,4,296,282,296,4,2,-1
"287",2,174.38,130.79,130.79,7,30,7,100,0,0,692,4,727,713,727,4,17,-1
"288",1,0,0,0,30,34,7,806,0,0,3010,4,77,63,77,4,2,-1
"289",1,2253.69,2109.81,2109.81,42,30,7,1,0,0,2717,4,1659,1644,1659,4,2,-1
"290",1,15.95,9.97,9.97,7,34,7,1,5.98,5.98,115,4,1320,1306,1320,4,17,-1
"291",1,12339.98,10859.17,10859.17,29,29,3,80,0,0,2343,3,2532,2520,2533,3,17,-1
"292",1,2772,2017,2017,31,29,1,80,1448,1448,828,3,2291,2279,2292,3,17,-1
